"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Mar 25 11:51:59 GMT 2025","Tue Mar 25 11:51:59 GMT 2025","15","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRegisterUser_NameEmptyParams","Регистрация с пустым именем",""
"passed","Tue Mar 25 11:52:01 GMT 2025","Tue Mar 25 11:52:01 GMT 2025","15","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_Active","testGetUserStatus_Active()",""
"passed","Tue Mar 25 11:51:59 GMT 2025","Tue Mar 25 11:51:59 GMT 2025","15","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession_MissingParams","Запись сессии без id",""
"passed","Tue Mar 25 11:52:01 GMT 2025","Tue Mar 25 11:52:01 GMT 2025","3","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_HighlyActive","testGetUserStatus_HighlyActive()",""
"passed","Tue Mar 25 11:52:01 GMT 2025","Tue Mar 25 11:52:01 GMT 2025","7","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_Inactive","testGetUserStatus_Inactive()",""
"passed","Tue Mar 25 11:51:59 GMT 2025","Tue Mar 25 11:51:59 GMT 2025","20","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRegisterUser_MissingParams","Регистрация без параметров",""
"passed","Tue Mar 25 11:52:01 GMT 2025","Tue Mar 25 11:52:01 GMT 2025","6","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserLastSessionDate_SingleSession","testGetUserLastSessionDate_SingleSession()",""
"passed","Tue Mar 25 11:51:59 GMT 2025","Tue Mar 25 11:51:59 GMT 2025","34","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession_InvalidDates","Запись сессии с некорректными датами",""
"passed","Tue Mar 25 11:52:01 GMT 2025","Tue Mar 25 11:52:01 GMT 2025","9","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus","testGetUserStatus()",""
"passed","Tue Mar 25 11:51:59 GMT 2025","Tue Mar 25 11:51:59 GMT 2025","33","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivity","Тест получения общего времени активности",""
"passed","Tue Mar 25 11:51:59 GMT 2025","Tue Mar 25 11:52:01 GMT 2025","1589","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserLastSessionDate_EmptySessions","testGetUserLastSessionDate_EmptySessions()",""
"failed","Tue Mar 25 11:51:59 GMT 2025","Tue Mar 25 11:51:59 GMT 2025","55","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testInactiveUsers_Success","Поиск неактивных пользователей",""
"broken","Tue Mar 25 11:52:01 GMT 2025","Tue Mar 25 11:52:01 GMT 2025","51","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserLastSessionDate_NullLogoutTime","testGetUserLastSessionDate_NullLogoutTime()",""
"failed","Tue Mar 25 11:51:59 GMT 2025","Tue Mar 25 11:51:59 GMT 2025","61","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRegisterUser_IdEmptyParams","Регистрация с пустым id",""
"passed","Tue Mar 25 11:51:59 GMT 2025","Tue Mar 25 11:51:59 GMT 2025","21","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRegisterUser_NameMissingParams","Регистрация без имени",""
"failed","Tue Mar 25 11:51:59 GMT 2025","Tue Mar 25 11:51:59 GMT 2025","31","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testMonthlyActivity_Success","Получение метрик активности за месяц",""
"passed","Tue Mar 25 11:51:59 GMT 2025","Tue Mar 25 11:51:59 GMT 2025","29","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession","Тест записи сессии",""
"passed","Tue Mar 25 11:51:59 GMT 2025","Tue Mar 25 11:51:59 GMT 2025","22","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession_TimeMissingParams","Запись сессии без времени",""
"passed","Tue Mar 25 11:52:01 GMT 2025","Tue Mar 25 11:52:01 GMT 2025","4","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserLastSessionDate_MultipleSessions","testGetUserLastSessionDate_MultipleSessions()",""
"passed","Tue Mar 25 11:51:57 GMT 2025","Tue Mar 25 11:51:59 GMT 2025","1779","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testUserRegistration","Тест регистрации пользователя",""
"passed","Tue Mar 25 11:51:59 GMT 2025","Tue Mar 25 11:51:59 GMT 2025","18","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRegisterUser_IdMissingParams","Регистрация без id",""
"passed","Tue Mar 25 11:51:59 GMT 2025","Tue Mar 25 11:51:59 GMT 2025","12","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testTotalActivity_MissingUserId","Получение активности без id",""
